ASVs	bremen	brake	bremerhaven	helgolandT	helgolandS
ASV_2186	0.0	0.0	0.0	0.7	0.0
ASV_2187	0.0	0.0	0.0	0.0	0.7
ASV_2215	0.0	0.0	1.3	0.3	0.0
ASV_2225	0.0	0.0	0.0	0.7	0.0
ASV_2233	0.0	0.0	0.0	0.0	1.0
ASV_2241	0.0	0.0	0.0	0.7	0.0
ASV_2254	0.0	0.0	0.0	0.0	0.3
ASV_2257	0.0	0.0	0.0	0.7	0.0
ASV_2265	0.0	0.0	0.0	0.0	4.0
ASV_2289	0.0	0.0	0.0	0.0	0.7
ASV_2295	0.0	0.0	0.0	0.7	0.0
ASV_2298	0.0	0.0	0.0	8.7	4.0
ASV_2319	0.0	1.0	1.7	0.0	0.0
ASV_2345	0.0	0.0	0.0	0.7	0.0
ASV_2346	2.7	4.0	2.3	0.0	0.0
ASV_2350	1.0	0.0	0.0	0.0	0.0
ASV_2357	0.0	0.0	0.0	0.0	0.3
ASV_2376	0.0	0.0	0.0	0.7	0.0
ASV_2395	1.3	3.3	3.3	0.0	0.0
ASV_2398	0.0	0.0	0.0	0.0	0.3
ASV_2400	0.3	0.7	1.0	0.0	0.0
ASV_2407	0.0	0.3	0.0	0.0	0.0
ASV_2412	0.0	0.0	0.7	0.0	0.0
ASV_2416	0.0	0.0	0.0	0.7	0.0
ASV_2419	0.0	0.0	0.0	5.3	0.0
ASV_2425	0.0	0.3	0.0	0.0	0.0
ASV_2426	0.0	0.0	0.0	0.3	0.0
ASV_2428	0.0	0.0	0.0	0.7	0.7
ASV_2444	0.3	0.0	0.0	0.0	0.0
ASV_2445	0.0	0.0	0.0	0.0	0.7
ASV_2449	0.0	0.3	0.0	0.0	0.0
ASV_2455	4.3	0.0	0.0	0.0	0.0
ASV_2459	0.0	0.0	0.0	0.0	1.3
ASV_2464	13.3	0.0	9.0	1.0	0.0
ASV_2475	0.0	0.0	0.0	0.0	0.3
ASV_2484	0.0	0.0	0.0	0.3	0.0
ASV_2486	0.0	0.0	0.0	0.0	1.7
ASV_2518	0.0	1.3	6.3	1.7	0.0
ASV_2532	1.0	0.0	0.0	0.0	0.0
ASV_2533	0.0	0.0	0.0	6.7	0.0
ASV_2537	0.0	0.0	0.0	5.7	0.0
ASV_2548	0.0	0.0	0.0	0.0	0.3
ASV_2556	0.0	0.0	0.0	1.3	0.0
ASV_2557	0.0	0.0	2.7	0.0	0.0
ASV_2559	0.0	0.0	0.0	2.0	0.3
ASV_2565	0.0	0.0	0.0	0.3	3.3
ASV_2567	4.0	0.0	0.0	0.0	0.0
ASV_2568	2.7	5.3	0.3	0.0	0.0
ASV_2581	0.0	0.0	0.0	0.0	0.3
ASV_2592	0.3	0.0	0.0	0.0	0.0
ASV_2608	0.0	0.0	0.3	0.0	0.0
ASV_2613	0.0	0.0	0.0	3.0	0.7
ASV_2618	0.0	0.0	0.0	0.3	0.0
ASV_2620	0.3	0.0	0.0	0.0	0.0
ASV_2638	0.3	0.3	0.0	0.0	0.0
ASV_2650	0.0	0.0	0.0	0.0	13.3
ASV_2654	0.0	0.0	0.0	0.3	0.0
ASV_2657	1.0	0.3	0.0	0.0	0.0
ASV_2697	0.0	0.0	0.0	0.0	7.7
ASV_2709	0.0	0.0	0.0	0.0	1.3
ASV_2710	8.3	1.3	0.7	0.0	0.0
ASV_2711	0.0	0.3	0.0	0.0	0.0
ASV_2713	0.0	0.0	0.0	3.0	7.0
ASV_2726	0.0	0.0	0.0	0.0	0.3
ASV_2741	1.3	0.3	3.7	1.0	0.0
ASV_2742	0.0	0.0	0.3	0.0	0.0
ASV_2746	0.0	0.0	0.0	0.3	0.0
ASV_2782	4.0	2.3	0.0	0.0	0.0
ASV_2792	0.0	0.0	0.0	0.3	0.0
ASV_2802	1.3	1.7	0.0	0.0	0.0
ASV_2832	0.7	0.0	0.0	0.0	0.0
ASV_2836	0.7	0.0	0.0	0.0	0.0
ASV_2842	0.0	0.0	0.0	0.3	0.0
ASV_2871	0.0	0.0	0.0	0.0	2.7
ASV_2872	0.0	0.0	0.0	0.7	0.7
ASV_2890	0.0	0.0	0.3	0.0	0.0
ASV_2895	0.0	0.0	0.0	0.3	2.0
ASV_2897	0.3	0.0	0.0	0.0	0.0
ASV_2902	1.3	0.7	0.0	0.0	0.0
ASV_2904	0.0	0.7	0.0	0.0	0.0
ASV_2907	0.0	1.0	0.0	0.0	0.0
ASV_2909	81.7	52.0	105.7	4.7	0.0
ASV_2930	0.0	0.0	0.0	0.0	0.7
ASV_2933	0.0	0.0	0.0	5.0	0.0
