ASVs	hdpe	wood	tw	water3	water02
ASV_703	0.33	0.00	0.00	0.04	0.00
ASV_704	0.20	0.07	0.00	0.00	0.00
ASV_705	0.00	0.00	0.00	0.44	0.56
ASV_706	0.00	0.07	0.00	0.00	0.00
ASV_708	0.80	0.53	0.53	0.00	0.00
ASV_709	0.00	0.00	0.07	0.00	0.00
ASV_711	0.00	0.33	0.00	0.00	0.00
ASV_712	0.00	0.00	0.07	0.00	0.00
ASV_713	0.00	0.00	0.00	0.00	0.11
ASV_714	0.13	0.33	0.00	0.00	0.00
ASV_715	0.00	0.00	0.00	0.04	0.19
ASV_716	0.33	0.00	0.07	0.00	0.00
ASV_717	0.00	0.00	0.00	0.04	0.00
ASV_718	0.00	0.00	0.00	0.04	0.26
ASV_719	0.00	0.00	0.00	0.04	0.00
ASV_720	0.00	0.07	0.00	0.00	0.00
ASV_721	0.00	0.13	0.13	0.00	0.00
ASV_722	0.00	0.00	0.00	0.11	0.00
ASV_723	0.00	0.00	0.00	0.04	0.00
ASV_724	0.07	0.00	0.00	0.00	0.00
ASV_728	0.00	0.00	0.20	0.00	0.00
ASV_729	0.27	0.13	0.40	0.04	0.00
ASV_730	0.00	0.20	0.00	0.00	0.00
ASV_731	0.40	0.00	0.13	0.00	0.00
ASV_732	0.00	0.00	0.00	0.04	0.00
ASV_733	0.07	0.00	0.00	0.00	0.00
ASV_735	0.00	0.00	0.00	0.04	0.00
ASV_736	0.00	0.00	0.00	0.00	0.04
ASV_738	0.00	0.00	0.00	0.04	0.00
ASV_739	0.00	0.00	0.00	0.26	0.00
ASV_740	0.00	0.07	0.07	0.22	0.00
ASV_741	0.07	0.00	0.00	0.00	0.00
ASV_742	0.07	0.00	0.00	0.00	0.00
ASV_743	0.00	0.00	0.00	0.00	0.04
ASV_744	0.00	0.00	0.00	0.00	0.07
ASV_745	0.00	0.00	0.00	0.07	0.00
ASV_746	0.20	0.00	0.00	0.00	0.00
ASV_747	0.00	0.00	0.07	0.00	0.00
ASV_748	0.00	0.00	0.13	0.00	0.00
ASV_749	0.00	0.00	0.00	0.00	0.04
ASV_750	0.00	0.00	0.00	0.04	0.00
ASV_751	0.00	0.27	0.07	0.00	0.00
ASV_752	0.00	0.00	0.53	0.00	0.00
ASV_753	0.07	0.00	0.00	0.00	0.00
ASV_754	0.07	0.00	0.00	0.00	0.00
ASV_756	0.07	0.00	0.07	0.00	0.00
ASV_760	0.20	0.00	0.07	0.00	0.00
ASV_761	0.00	0.00	0.00	0.04	0.00
ASV_762	0.00	0.00	0.00	0.04	0.00
ASV_763	0.47	0.00	0.33	0.00	0.00
ASV_764	0.00	0.00	0.00	0.00	0.04
ASV_766	0.07	0.00	0.07	0.00	0.00
ASV_767	0.27	0.00	0.00	0.00	0.00
ASV_768	0.00	0.00	0.00	0.00	0.04
ASV_769	0.07	0.00	0.00	0.04	0.00
ASV_770	0.00	0.00	0.00	0.11	0.00
ASV_771	0.00	0.00	0.00	0.04	0.00
ASV_772	0.13	0.00	0.00	0.00	0.00
ASV_774	0.00	0.00	0.00	0.00	0.04
ASV_775	0.00	0.00	0.00	0.04	0.00
