ASVs	bremen	brake	bremerhaven	helgolandT	helgolandS
ASV_1496	7.0	5.3	8.3	0.0	0.0
ASV_1500	0.0	1.3	0.7	0.0	0.0
ASV_1503	0.7	0.3	0.0	0.0	0.0
ASV_1505	0.0	4.3	0.0	0.0	0.0
ASV_1508	0.0	0.0	0.0	1.0	0.0
ASV_1515	0.0	0.0	0.0	1.0	1.0
ASV_1518	0.3	0.0	0.0	0.0	0.0
ASV_1520	0.0	0.0	0.0	0.0	0.3
ASV_1524	1.0	0.0	0.0	0.0	0.0
ASV_1544	0.0	0.7	0.0	0.0	0.0
ASV_1552	0.0	0.0	0.0	1.0	0.0
ASV_1554	3.0	0.0	0.0	0.0	0.0
ASV_1556	0.0	0.0	0.0	0.3	0.3
ASV_1562	0.0	0.0	0.0	0.3	0.0
ASV_1568	1.3	3.3	0.0	0.0	0.0
ASV_1574	0.0	0.0	0.0	0.3	0.0
ASV_1578	0.0	0.0	1.3	0.0	0.0
ASV_1580	0.0	0.0	0.0	0.0	0.7
ASV_1583	0.0	0.0	0.3	0.0	0.0
ASV_1585	0.0	0.3	0.0	0.0	0.0
ASV_1595	1.0	0.7	0.0	0.0	0.0
ASV_1599	1.3	0.3	0.0	0.0	0.0
ASV_1604	0.0	0.0	0.0	0.7	0.3
ASV_1609	0.0	0.0	1.3	0.0	0.0
ASV_1612	0.0	0.0	0.0	0.0	0.3
ASV_1619	2.3	2.0	1.7	0.0	0.0
ASV_1621	0.0	0.0	0.0	0.7	0.0
ASV_1622	2.0	0.0	0.7	0.0	0.0
ASV_1624	0.0	0.0	0.3	0.0	0.0
ASV_1633	0.3	0.0	0.0	0.0	0.0
ASV_1638	0.0	0.0	0.0	0.0	0.3
ASV_1639	1.7	3.3	0.0	0.0	0.0
ASV_1640	1.3	0.0	1.0	0.0	0.0
ASV_1644	2.0	0.0	0.0	0.0	0.0
ASV_1648	1.0	0.7	0.0	0.0	0.0
ASV_1656	0.0	0.0	0.0	0.0	0.3
ASV_1659	0.0	2.0	0.3	0.0	0.0
ASV_1666	0.0	0.0	0.0	0.3	0.7
ASV_1679	0.0	0.0	0.7	0.0	0.0
ASV_1680	6.3	0.3	0.0	0.0	0.0
ASV_1682	0.0	0.0	0.0	0.0	0.3
ASV_1684	0.3	0.0	0.0	0.0	0.0
ASV_1686	0.3	0.0	0.0	0.0	0.0
ASV_1695	0.0	0.0	0.0	0.0	0.3
ASV_1696	2.3	4.0	15.7	5.3	0.0
ASV_1705	0.0	0.0	0.0	0.0	0.7
ASV_1709	2.7	1.3	0.0	0.0	0.0
ASV_1719	1.0	0.7	1.7	0.0	0.0
ASV_1726	0.0	0.3	0.0	0.0	0.0
ASV_1731	0.0	0.0	0.0	0.0	1.0
ASV_1738	0.0	0.7	0.0	0.0	0.0
ASV_1749	0.0	0.3	0.0	0.0	0.0
ASV_1750	0.7	0.0	0.0	0.0	0.0
